TFT,TFT-median,TFT-lo-90,TFT-lo-80,TFT-hi-80,TFT-hi-90
9551.163,9546.942,9429.99,9456.297,9654.579,9681.992
9902.852,9906.646,9772.79,9798.603,10001.235,10032.722
10018.214,10019.145,9888.971,9919.523,10112.041,10145.08
10078.31,10083.33,9949.026,9982.031,10175.899,10207.037
10106.3,10106.403,9979.618,10010.745,10196.403,10221.753
10141.93,10142.126,10017.739,10042.245,10236.4,10264.531
10203.786,10206.322,10068.759,10098.272,10307.042,10339.715
10231.07,10231.164,10102.236,10132.227,10332.825,10357.955
10362.364,10361.924,10233.383,10263.153,10465.993,10489.155
10581.308,10583.014,10450.593,10481.827,10677.524,10703.139
11016.14,11016.663,10888.233,10920.404,11115.856,11147.632
11212.975,11212.059,11086.835,11113.722,11310.262,11345.602
11240.796,11239.393,11112.758,11147.263,11336.184,11362.081
11034.572,11035.137,10907.571,10937.824,11135.829,11165.901
10586.038,10583.443,10467.019,10491.358,10687.082,10723.637
10086.416,10087.652,9958.2295,9985.986,10184.666,10210.803
9614.032,9612.35,9492.264,9516.627,9714.032,9744.45
1965.1539,1964.9122,1924.6243,1933.9396,1995.7521,2006.5554
1948.6548,1948.0857,1910.5817,1918.2335,1980.0226,1990.0096
1919.1956,1919.1117,1878.9758,1888.8527,1949.0931,1957.2568
1934.7206,1934.557,1893.455,1902.4501,1964.6079,1974.1731
1985.53,1984.9812,1947.2609,1955.3295,2015.7937,2024.8157
2109.656,2109.7234,2066.7043,2077.647,2140.4292,2149.2014
2275.0063,2274.4534,2234.9338,2244.1394,2307.084,2316.3547
2346.4058,2346.7708,2307.9082,2316.8206,2375.4888,2384.1782
2261.758,2261.4277,2221.5427,2231.2227,2292.0603,2301.1433
2098.6455,2098.8853,2058.4153,2067.5164,2130.1316,2137.9343
1978.1085,1978.4792,1939.1073,1946.6072,2008.8334,2017.6907
1887.4587,1887.3754,1847.2518,1856.1954,1917.3857,1926.8345
1845.6562,1846.4521,1804.907,1813.2063,1877.1002,1885.5331
1775.113,1775.3752,1732.8899,1744.3203,1806.9592,1817.0494
1773.128,1772.7196,1733.5687,1742.097,1802.7303,1812.5721
